"","playerID","stint","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH"
"282","armstmi01",8,197,3,0,0,0,0,0,0,0,0,0,3,0,0,0
"283","armstsh01",2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"284","arndtla01",1,2,6,1,1,0,0,0,0,0,0,0,1,0,0,1
"285","arnolch01",6,273,435,47,103,12,5,4,51,1,2,42,76,5,1,1
"286","arnolja01",4,50,19,1,3,1,0,0,1,0,0,0,6,0,1,1
"287","arnolsc01",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"288","arnolto01",2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"289","arnsbbr01",6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290","arochre01",4,124,69,3,7,2,0,0,3,0,0,3,31,0,0,10
"291","arojo01",2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292","arredjo01",4,214,2,0,1,0,0,0,0,0,0,0,1,0,0,0
"293","arrieja01",9,168,208,15,39,5,3,4,15,0,0,9,103,0,0,15
"294","arrigge01",12,195,179,10,27,6,1,1,11,0,0,9,59,0,0,8
"295","arrojro01",7,158,37,2,3,1,0,0,3,0,0,1,20,0,0,4
"296","arroybr01",15,421,603,35,77,16,0,6,29,1,0,14,266,0,1,82
"297","arroyfe01",10,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298","arroylu01",8,246,128,5,29,2,0,1,8,0,0,2,28,0,0,11
"299","arroyru01",1,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"300","arrueer01",1,22,41,4,8,1,0,0,4,0,0,3,17,0,0,0
"301","asadora01",1,15,55,9,20,5,0,0,7,1,2,3,13,1,0,2
"302","ascanjo01",6,43,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"303","ascheco01",4,371,1181,124,284,70,4,31,125,5,4,92,310,10,7,3
"304","asencmi01",3,42,5,0,0,0,0,0,0,0,0,0,3,0,0,0
"305","ashbyal01",17,1370,4123,397,1010,183,13,90,513,7,10,461,622,66,11,55
"306","ashbyan01",18,313,521,26,70,13,0,1,26,1,0,16,218,0,0,83
"307","asheral01",2,12,17,0,3,1,0,0,2,0,0,0,9,0,0,0
"308","ashfotu01",7,222,510,42,111,31,1,6,55,5,3,47,75,6,1,5
"309","ashlebi01",7,281,618,56,144,23,1,28,84,0,0,63,236,5,4,0
